youtube,facebook,periodicos,ventas
276.12,45.36,83.04,23.95
53.4,47.16,54.12,14.53
20.64,55.08,83.16,14.35
181.8,49.56,70.2,21.46
216.96,12.96,70.08,15.35
10.44,58.68,90,14.91
69,39.36,28.2,14.21
144.24,23.52,13.92,14.36
10.32,2.52,1.2,4.5
239.76,3.12,25.44,15.33
79.32,6.96,29.04,9.15
257.64,28.8,4.8,20.3
28.56,42.12,79.08,13.55
117,9.12,8.64,10.29
244.92,39.48,55.2,21.22
234.48,57.24,63.48,25.15
81.36,43.92,136.8,15.15
337.68,47.52,66.96,27.72
83.04,24.6,21.96,12.74
176.76,28.68,22.92,17.72
262.08,33.24,64.08,21.98
284.88,6.12,28.2,16.93
15.84,19.08,59.52,8.07
273.96,20.28,31.44,19.05
74.76,15.12,21.96,9.84
315.48,4.2,23.4,19.12
171.48,35.16,15.12,17.87
288.12,20.04,27.48,20.07
298.56,32.52,27.48,22.54
84.72,19.2,48.96,10.65
351.48,33.96,51.84,25.2
135.48,20.88,46.32,13.02
116.64,1.8,36,9.85
318.72,24,0.36,22.45
114.84,1.68,8.88,8.8
348.84,4.92,10.2,19.54
320.28,52.56,6,28.72
89.64,59.28,54.84,18.83
51.72,32.04,42.12,11.43
273.6,45.24,38.4,24.85
243,26.76,37.92,19.44
212.4,40.08,46.44,20.39
352.32,33.24,2.16,26.43
248.28,10.08,31.68,15.86
30.12,30.84,51.96,10.78
210.12,27,37.8,17.2
107.64,11.88,42.84,10.44
287.88,49.8,22.2,25.76
272.64,18.96,59.88,19.8
80.28,14.04,44.16,10.46
239.76,3.72,41.52,14.47
120.48,11.52,4.32,11.47
259.68,50.04,47.52,24.6
219.12,55.44,70.44,24.33
315.24,34.56,19.08,24.55
238.68,59.28,72,24.88
8.76,33.72,49.68,10.92
163.44,23.04,19.92,15.48
252.96,59.52,45.24,26.05
252.84,35.4,11.16,21.07
64.2,2.4,25.68,7.34
313.56,51.24,65.64,27.18
287.16,18.6,32.76,19.3
123.24,35.52,10.08,15.36
157.32,51.36,34.68,20.39
82.8,11.16,1.08,9.37
37.8,29.52,2.64,10.78
167.16,17.4,12.24,15.1
284.88,33,13.2,22.19
260.16,52.68,32.64,25.46
238.92,36.72,46.44,21.19
131.76,17.16,38.04,12.71
32.16,39.6,23.16,11.94
155.28,6.84,37.56,12.27
256.08,29.52,15.72,21.16
20.28,52.44,107.28,13.83
33,1.92,24.84,5.2
144.6,34.2,17.04,16.33
6.48,35.88,11.28,9.75
139.2,9.24,27.72,11.41
91.68,32.04,26.76,13.45
287.76,4.92,44.28,16.83
90.36,24.36,39,12.83
82.08,53.4,42.72,18.17
256.2,51.6,40.56,25.63
231.84,22.08,78.84,18.55
